Identificador,Tipo,Categoria,Posicao,Projeto
 P ,int,10,Atributo,projeto
 NUM_REGISTERS ,int,8,Atributo,projeto
 Q ,int,10,Atributo,projeto
 R ,int,10,Atributo,projeto
 HASH_SEED ,int,8,Atributo,projeto
 VERSION ,byte,10,Atributo,projeto
 registers, short,10,Atributo,projeto
 registersCopy , short,6,Variavel,projeto
 _128BitHash ,long,8,Variavel,projeto
 buf ,ByteBuffer,10,Variavel,projeto
 that ,BetaMinHash,10,Variavel,projeto
 hashLeftHalf ,long,7,Variavel,projeto
 registerIndex ,int,6,Variavel,projeto
 leftmostOneBitPosition ,short,7,Variavel,projeto
 rBits ,short,6,Variavel,projeto
 packedRegister ,short,6,Variavel,projeto
 exponent ,int,10,Variavel,projeto
 packedRegister ,int,6,Variavel,projeto
 sum,double,10,Atributo,projeto
 zeros,double,10,Atributo,projeto
 saz ,SumAndZeros,10,Variavel,projeto
 sum ,double,10,Variavel,projeto
 zeros ,double,10,Variavel,projeto
 mHat ,double,6,Variavel,projeto
 alpha ,double,10,Variavel,projeto
 sum ,double,10,Variavel,projeto
 leadingZeros ,byte,6,Variavel,projeto
 log ,double,10,Variavel,projeto
 leadingZeros ,byte,6,For,projeto
 sum,double,10,Atributo,projeto
 zeros,double,10,Atributo,projeto
 INSTANCE ,BetaMinHashCombiner,10,Atributo,projeto
 serialVersionUID ,long,7,Atributo,projeto
 firstSketch ,BetaMinHash,6,Variavel,projeto
 numRegisters ,int,6,Variavel,projeto
 mergedSketch ,BetaMinHash,6,Variavel,projeto
 c ,long,10,Variavel,projeto
 n ,long,10,Variavel,projeto
 firstSketch ,BetaMinHash,6,Variavel,projeto
 itemInIntersection ,boolean,7,Variavel,projeto
 cardinalities ,double,10,Variavel,projeto
 i ,int,10,Variavel,projeto
 p ,int,10,Variavel,projeto
 q ,int,10,Variavel,projeto
 r ,int,10,Variavel,projeto
 numExpectedCollisions ,double,7,Variavel,projeto
 _2q ,int,8,Variavel,projeto
 _2r ,int,8,Variavel,projeto
 x ,double,10,Variavel,projeto
 b1 ,double,10,Variavel,projeto
 b2 ,double,10,Variavel,projeto
 den ,double,10,Variavel,projeto
 den ,double,10,Variavel,projeto
 product ,double,10,Variavel,projeto
 itemInIntersection ,boolean,7,For,projeto
 den ,double,10,For,projeto
 den ,double,10,For,projeto
 product ,double,10,For,projeto
 itemInIntersection ,boolean,7,if,projeto
 sketch ,BetaMinHash,10,if,projeto
 den ,double,10,if,projeto
 den ,double,10,if,projeto
 registers ,short,10,Variavel,projeto
 inputBuffer ,ByteBuffer,6,Variavel,projeto
 serdeToken ,byte,6,Variavel,projeto
 version ,byte,10,Variavel,projeto
 byteBuffer ,ByteBuffer,6,Variavel,projeto
 bits , boolean,10,Variavel,projeto
 bits ,boolean,10,Variavel,projeto
 bits , boolean,10,Variavel,projeto
 out ,long,10,Variavel,projeto
 _2toTheQ ,int,8,Variavel,projeto
 offset ,int,10,Variavel,projeto
 byteLen ,int,6,Variavel,projeto
 bytes ,byte,10,Variavel,projeto
 exp ,int,10,Variavel,projeto
 byteIndex ,int,6,Variavel,projeto
 output ,boolean,10,Variavel,projeto
 mask ,int,10,Variavel,projeto
