nome_identificador,nome_da_classe,score_relacao,nome_arquivo,media_top3_atributo
 p ,beta,-1,,-1
 p ,min,-1,,-1
 p ,hash,-1,,-1
 num,beta,-1,,-1
registers ,beta,-1,,-1
 num,min,-1,,-1
registers ,min,-1,,-1
 num,hash,-1,,-1
registers ,hash,-1,,-1
 q ,beta,-1,,-1
 q ,min,-1,,-1
 q ,hash,-1,,-1
 r ,beta,-1,,-1
 r ,min,-1,,-1
 r ,hash,-1,,-1
 hash,beta,-1,,-1
seed ,beta,-1,,-1
 hash,min,-1,,-1
seed ,min,-1,,-1
 hash,hash,-1,,-1
seed ,hash,-1,,-1
 version ,beta,-1,,-1
 version ,min,-1,,-1
 version ,hash,-1,,-1
 registers,beta,-1,,-1
 registers,min,-1,,-1
 registers,hash,-1,,-1
 registers,beta,-1,,-1
copy ,beta,-1,,-1
 registers,min,-1,,-1
copy ,min,-1,,-1
 registers,hash,-1,,-1
copy ,hash,-1,,-1
 ,beta,-1,,-1
128bit,beta,0.33710638,,0.7713375488917033
hash ,beta,-1,,-1
 ,min,-1,,-1
128bit,min,0.23896663,,0.7713375488917033
hash ,min,-1,,-1
 ,hash,-1,,-1
128bit,hash,0.35818473,,0.7713375488917033
hash ,hash,-1,,-1
 buf ,beta,-1,,-1
 buf ,min,-1,,-1
 buf ,hash,-1,,-1
 that ,beta,-1,,-1
 that ,min,-1,,-1
 that ,hash,-1,,-1
 hash,beta,-1,,-1
left,beta,0.25107363,,0.7328447699546814
half ,beta,-1,,-1
 hash,min,-1,,-1
left,min,0.20958683,,0.7328447699546814
half ,min,-1,,-1
 hash,hash,-1,,-1
left,hash,0.31037018,,0.7328447699546814
half ,hash,-1,,-1
 register,beta,-1,,-1
index ,beta,-1,,-1
 register,min,-1,,-1
index ,min,-1,,-1
 register,hash,-1,,-1
index ,hash,-1,,-1
 leftmost,beta,-1,,-1
one,beta,0.279446,,0.7406286199887594
bit,beta,0.29662746,,0.7210670908292135
position ,beta,-1,,-1
 leftmost,min,-1,,-1
one,min,0.28274927,,0.7406286199887594
bit,min,0.2728907,,0.7210670908292135
position ,min,-1,,-1
 leftmost,hash,-1,,-1
one,hash,0.3171256,,0.7406286199887594
bit,hash,0.38630417,,0.7210670908292135
position ,hash,-1,,-1
 r,beta,-1,,-1
bits ,beta,-1,,-1
 r,min,-1,,-1
bits ,min,-1,,-1
 r,hash,-1,,-1
bits ,hash,-1,,-1
 packed,beta,-1,,-1
register ,beta,-1,,-1
 packed,min,-1,,-1
register ,min,-1,,-1
 packed,hash,-1,,-1
register ,hash,-1,,-1
 exponent ,beta,-1,,-1
 exponent ,min,-1,,-1
 exponent ,hash,-1,,-1
 packed,beta,-1,,-1
register ,beta,-1,,-1
 packed,min,-1,,-1
register ,min,-1,,-1
 packed,hash,-1,,-1
register ,hash,-1,,-1
 sum,beta,-1,,-1
 sum,min,-1,,-1
 sum,hash,-1,,-1
 sum,cardinality,-1,,-1
 sum,getter,-1,,-1
 zeros,beta,-1,,-1
 zeros,min,-1,,-1
 zeros,hash,-1,,-1
 zeros,cardinality,-1,,-1
 zeros,getter,-1,,-1
 saz ,beta,-1,,-1
