Identificador,Tipo,Categoria,Posicao,Projeto
 XPACK_SECURITY_AUTHC_REALMS_AD_EXTERNAL ,String,8,Atributo,projeto
 XPACK_SECURITY_AUTHC_REALMS_LDAP_EXTERNAL ,String,8,Atributo,projeto
 PASSWORD ,String,10,Atributo,projeto
 ASGARDIAN_INDEX ,String,8,Atributo,projeto
 PHILANTHROPISTS_INDEX ,String,8,Atributo,projeto
 SECURITY_INDEX ,String,8,Atributo,projeto
 AD_ROLE_MAPPING , RoleMappingEntry,8,Atributo,projeto
 realmConfig,RealmConfig,5,Atributo,projeto
 roleMappings,RoleMappingEntry,6,Atributo,projeto
 fileContent,String,6,Atributo,projeto
 nativeContent,String,6,Atributo,projeto
 type,String,10,Atributo,projeto
 mapGroupsAsRoles,boolean,7,Atributo,projeto
 loginWithCommonName,boolean,7,Atributo,projeto
 roleMappings, RoleMappingEntry,6,Atributo,projeto
 settings,Settings,10,Atributo,projeto
 realm ,RealmConfig,10,Variavel,projeto
 builder ,Settings,10,Variavel,projeto
 builder ,Settings,10,Variavel,projeto
 content ,String,10,Variavel,projeto
 name ,String,10,Variavel,projeto
 builder ,PutRoleMappingRequestBuilder,10,Variavel,projeto
 response ,PutRoleMappingResponse,10,Variavel,projeto
 templates ,String,10,Variavel,projeto
 content ,String,10,Variavel,projeto
 nodeFiles ,Path,6,Variavel,projeto
 file ,String,10,Variavel,projeto
 client ,Client,10,Variavel,projeto
 indexResponse ,IndexResponse,6,Variavel,projeto
 getResponse ,GetResponse,6,Variavel,projeto
 testnodeCert ,Path,6,Variavel,projeto
 testnodeClientProfileCert ,Path,7,Variavel,projeto
 activedirCert ,Path,6,Variavel,projeto
 testclientCert ,Path,6,Variavel,projeto
 openldapCert ,Path,6,Variavel,projeto
 samba4Cert ,Path,10,Variavel,projeto
 that ,RoleMappingEntry,10,Variavel,projeto
 result ,int,10,Variavel,projeto
 builder ,Settings,10,Variavel,projeto
 name ,String,10,For,projeto
 builder ,PutRoleMappingRequestBuilder,10,For,projeto
 response ,PutRoleMappingResponse,10,For,projeto
 fileContent,String,6,Atributo,projeto
 nativeContent,String,6,Atributo,projeto
 that ,RoleMappingEntry,10,Variavel,projeto
 result ,int,10,Variavel,projeto
nome,tipo,10,posicao,projeto
 XPACK_SECURITY_AUTHC_REALMS_AD_EXTERNAL ,String,8,Atributo,projeto
 XPACK_SECURITY_AUTHC_REALMS_LDAP_EXTERNAL ,String,8,Atributo,projeto
 PASSWORD ,String,10,Atributo,projeto
 ASGARDIAN_INDEX ,String,8,Atributo,projeto
 PHILANTHROPISTS_INDEX ,String,8,Atributo,projeto
 SECURITY_INDEX ,String,8,Atributo,projeto
 AD_ROLE_MAPPING , RoleMappingEntry,8,Atributo,projeto
 realmConfig,RealmConfig,5,Atributo,projeto
 roleMappings,RoleMappingEntry,6,Atributo,projeto
 fileContent,String,6,Atributo,projeto
 nativeContent,String,6,Atributo,projeto
 type,String,10,Atributo,projeto
 mapGroupsAsRoles,boolean,7,Atributo,projeto
 loginWithCommonName,boolean,7,Atributo,projeto
 roleMappings, RoleMappingEntry,6,Atributo,projeto
 settings,Settings,10,Atributo,projeto
 realm ,RealmConfig,10,Variavel,projeto
 builder ,Settings,10,Variavel,projeto
 builder ,Settings,10,Variavel,projeto
 content ,String,10,Variavel,projeto
 name ,String,10,Variavel,projeto
 builder ,PutRoleMappingRequestBuilder,10,Variavel,projeto
 response ,PutRoleMappingResponse,10,Variavel,projeto
 templates ,String,10,Variavel,projeto
 content ,String,10,Variavel,projeto
 nodeFiles ,Path,6,Variavel,projeto
 file ,String,10,Variavel,projeto
 client ,Client,10,Variavel,projeto
 indexResponse ,IndexResponse,6,Variavel,projeto
 getResponse ,GetResponse,6,Variavel,projeto
 testnodeCert ,Path,6,Variavel,projeto
 testnodeClientProfileCert ,Path,7,Variavel,projeto
 activedirCert ,Path,6,Variavel,projeto
 testclientCert ,Path,6,Variavel,projeto
 openldapCert ,Path,6,Variavel,projeto
 samba4Cert ,Path,10,Variavel,projeto
 that ,RoleMappingEntry,10,Variavel,projeto
 result ,int,10,Variavel,projeto
 builder ,Settings,10,Variavel,projeto
 name ,String,10,For,projeto
 builder ,PutRoleMappingRequestBuilder,10,For,projeto
 response ,PutRoleMappingResponse,10,For,projeto
 fileContent,String,6,Atributo,projeto
 nativeContent,String,6,Atributo,projeto
 that ,RoleMappingEntry,10,Variavel,projeto
 result ,int,10,Variavel,projeto
