nome_projeto,nome_identificador,nome_classe,posicao_identificador,score
projeto, P ,BetaMinHash,Atributo,0.0
projeto, NUM_REGISTERS ,BetaMinHash,Atributo,0.5
projeto, Q ,BetaMinHash,Atributo,2.0
projeto, R ,BetaMinHash,Atributo,2.0
projeto, HASH_SEED ,BetaMinHash,Atributo,2.0
projeto, VERSION ,BetaMinHash,Atributo,6.0
projeto, registers,BetaMinHash,Atributo,8.0
projeto, registersCopy ,BetaMinHash,Variavel,4.5
projeto, _128BitHash ,BetaMinHash,Variavel,0.67
projeto, buf ,BetaMinHash,Variavel,1.0
projeto, that ,BetaMinHash,Variavel,3.0
projeto, hashLeftHalf ,BetaMinHash,Variavel,2.67
projeto, registerIndex ,BetaMinHash,Variavel,4.5
projeto, leftmostOneBitPosition ,BetaMinHash,Variavel,0.25
projeto, rBits ,BetaMinHash,Variavel,2.5
projeto, packedRegister ,BetaMinHash,Variavel,4.0
projeto, exponent ,BetaMinHash,Variavel,6.0
projeto, packedRegister ,BetaMinHash,Variavel,4.0
projeto, sum,BetaMinHashCardinalityGetter,Atributo,2.0
projeto, zeros,BetaMinHashCardinalityGetter,Atributo,6.0
projeto, saz ,BetaMinHashCardinalityGetter,Variavel,1.0
projeto, sum ,BetaMinHashCardinalityGetter,Variavel,2.0
projeto, zeros ,BetaMinHashCardinalityGetter,Variavel,6.0
projeto, mHat ,BetaMinHashCardinalityGetter,Variavel,1.0
projeto, alpha ,BetaMinHashCardinalityGetter,Variavel,2.0
projeto, sum ,BetaMinHashCardinalityGetter,Variavel,2.0
projeto, leadingZeros ,BetaMinHashCardinalityGetter,Variavel,4.5
projeto, log ,BetaMinHashCardinalityGetter,Variavel,3.0
projeto, leadingZeros ,BetaMinHashCardinalityGetter,For,4.5
projeto, sum,SumAndZeros,Atributo,2.0
projeto, zeros,SumAndZeros,Atributo,6.0
projeto, INSTANCE ,BetaMinHashCombiner,Atributo,5.0
projeto, serialVersionUID ,BetaMinHashCombiner,Atributo,4.0
projeto, firstSketch ,BetaMinHashCombiner,Variavel,5.0
projeto, numRegisters ,BetaMinHashCombiner,Variavel,0.5
projeto, mergedSketch ,BetaMinHashCombiner,Variavel,4.0
projeto, c ,BetaMinHashCombiner,Variavel,1.0
projeto, n ,BetaMinHashCombiner,Variavel,1.0
projeto, firstSketch ,BetaMinHashCombiner,Variavel,5.0
projeto, itemInIntersection ,BetaMinHashCombiner,Variavel,3.0
projeto, cardinalities ,BetaMinHashCombiner,Variavel,1.0
projeto, i ,BetaMinHashCombiner,Variavel,0.0
projeto, p ,BetaMinHashCombiner,Variavel,0.0
projeto, q ,BetaMinHashCombiner,Variavel,2.0
projeto, r ,BetaMinHashCombiner,Variavel,2.0
projeto, numExpectedCollisions ,BetaMinHashCombiner,Variavel,0.33
projeto, _2q ,BetaMinHashCombiner,Variavel,1.0
projeto, _2r ,BetaMinHashCombiner,Variavel,1.0
projeto, x ,BetaMinHashCombiner,Variavel,4.0
projeto, b1 ,BetaMinHashCombiner,Variavel,1.0
projeto, b2 ,BetaMinHashCombiner,Variavel,1.0
projeto, den ,BetaMinHashCombiner,Variavel,1.0
projeto, den ,BetaMinHashCombiner,Variavel,1.0
projeto, product ,BetaMinHashCombiner,Variavel,5.0
projeto, itemInIntersection ,BetaMinHashCombiner,For,3.0
projeto, den ,BetaMinHashCombiner,For,1.0
projeto, den ,BetaMinHashCombiner,For,1.0
projeto, product ,BetaMinHashCombiner,For,5.0
projeto, itemInIntersection ,BetaMinHashCombiner,if,3.0
projeto, sketch ,BetaMinHashCombiner,if,5.0
projeto, den ,BetaMinHashCombiner,if,1.0
projeto, den ,BetaMinHashCombiner,if,1.0
projeto, registers ,BetaMinHashSerde,Variavel,8.0
projeto, inputBuffer ,BetaMinHashSerde,Variavel,1.5
projeto, serdeToken ,BetaMinHashSerde,Variavel,0.5
projeto, version ,BetaMinHashSerde,Variavel,6.0
projeto, byteBuffer ,BetaMinHashSerde,Variavel,1.5
projeto, bits ,BitHelper,Variavel,3.0
projeto, bits ,BitHelper,Variavel,3.0
projeto, bits ,BitHelper,Variavel,3.0
projeto, out ,BitHelper,Variavel,1.0
projeto, _2toTheQ ,BitHelper,Variavel,0.5
projeto, offset ,BitHelper,Variavel,4.0
projeto, byteLen ,BitHelper,Variavel,1.5
projeto, bytes ,BitHelper,Variavel,3.0
projeto, exp ,BitHelper,Variavel,1.0
projeto, byteIndex ,BitHelper,Variavel,2.5
projeto, output ,BitHelper,Variavel,1.0
projeto, mask ,BitHelper,Variavel,4.0
projeto, i ,BitHelper,Variavel,0.0
projeto, shiftedMask ,BitHelper,Variavel,3.5
projeto, boolIndex ,BitHelper,Variavel,0.5
projeto, shiftedMask ,BitHelper,For,3.5
projeto, boolIndex ,BitHelper,For,0.5
projeto, serialVersionUID ,HmhCardinalityEstimator,Atributo,4.0
projeto, MIN_P ,HmhCardinalityEstimator,Atributo,0.5
projeto, rawEstimateData ,HmhCardinalityEstimator,Atributo,1.33
projeto, biasData ,HmhCardinalityEstimator,Atributo,1.0
projeto, hllEstimateTreshold ,HmhCardinalityEstimator,Atributo,0.67
projeto, basicEstimate ,HmhCardinalityEstimator,Variavel,3.0
projeto, numZeroRegisters ,HmhCardinalityEstimator,Variavel,0.33
projeto, linearCountingEstimate ,HmhCardinalityEstimator,Variavel,3.0
projeto, estimatesForPrecision ,HmhCardinalityEstimator,Variavel,5.33
projeto, biasesForPrecision ,HmhCardinalityEstimator,Variavel,5.33
projeto, m ,HmhCardinalityEstimator,Variavel,1.0
projeto, denominator ,HmhCardinalityEstimator,Variavel,3.0
projeto, numerator ,HmhCardinalityEstimator,Variavel,1.0
projeto, indexesByDifference ,HmhCardinalityEstimator,Variavel,4.0
projeto, ascDiffIter ,HmhCardinalityEstimator,Variavel,0.67
projeto, minDiff ,HmhCardinalityEstimator,Variavel,1.5
projeto, secondSmallestDiff ,HmhCardinalityEstimator,Variavel,4.0
projeto, smallestDiffIndex ,HmhCardinalityEstimator,Variavel,4.0
projeto, secondSmallestDiffIndex ,HmhCardinalityEstimator,Variavel,4.0
projeto, firstIndex,HmhCardinalityEstimator,Variavel,4.5
projeto, secondIndex,HmhCardinalityEstimator,Variavel,4.0
projeto, m ,HmhCardinalityEstimator,Variavel,1.0
projeto, linearCountingEstimate ,HmhCardinalityEstimator,if,3.0
projeto, VERSION ,HyperMinHash,Atributo,6.0
projeto, registers,HyperMinHash,Atributo,8.0
projeto, p,HyperMinHash,Atributo,0.0
projeto, numZeroSearchBits,HyperMinHash,Atributo,0.25
projeto, r,HyperMinHash,Atributo,2.0
projeto, hash ,HyperMinHash,Variavel,2.0
projeto, hllHash ,HyperMinHash,Variavel,0.5
projeto, registerIndex ,HyperMinHash,Variavel,4.5
projeto, zeroSearchSpace ,HyperMinHash,Variavel,3.67
projeto, leftmostOnePosition ,HyperMinHash,Variavel,0.33
projeto, hmhHash ,HyperMinHash,Variavel,0.5
projeto, minHashBits ,HyperMinHash,Variavel,2.0
projeto, incomingRegister ,HyperMinHash,Variavel,4.5
projeto, that ,HyperMinHash,Variavel,3.0
projeto, result ,HyperMinHash,Variavel,7.0
projeto, instance ,HyperMinHashCombiner,Atributo,5.0
projeto, firstSketch ,HyperMinHashCombiner,Variavel,5.0
projeto, numRegisters ,HyperMinHashCombiner,Variavel,0.5
